position,time,startAt,duration,title,artist,genre,deck,key,endAt
1,00:00:00,2025-03-07T01:31:44Z,00:05:23,Eclipse Of The Sun,"James Black Presents, Sinead McCarthy, Brian McCalla",Trance (Main Floor),Deck A,1m,2025-03-07T01:37:07Z
2,00:05:23,2025-03-07T01:37:07Z,00:04:21,Dark Druids,Neurosect,Psy-Trance,Deck B,3d,2025-03-07T01:41:28Z
3,00:08:50,2025-03-07T01:40:34Z,00:06:57,Jungle Palace,Karev,Psy-Trance,Deck A,2m,2025-03-07T01:47:31Z
4,00:14:28,2025-03-07T01:46:12Z,00:05:46,Singular Forest,Ulvae,Psy-Trance,Deck B,3m,2025-03-07T01:51:58Z
5,00:19:51,2025-03-07T01:51:35Z,00:05:26,Lucy in the Swamp with Demons,Psykotropic,Psy-Trance,Deck A,2m,2025-03-07T01:57:01Z
6,00:25:16,2025-03-07T01:57:00Z,00:06:19,Black Sky,Goalien,Psy-Trance,Deck B,12m,2025-03-07T02:03:19Z
7,00:30:50,2025-03-07T02:02:34Z,00:05:32,Old Monkey,"Groark, Pineapple Head",Psy-Trance,Deck A,11m,2025-03-07T02:08:06Z
8,00:35:49,2025-03-07T02:07:33Z,00:04:33,"Cynicism. Oh Yes I Remember Now, It Is All Just A Mascarade",BenSolo,Psy-Trance,Deck B,7m,2025-03-07T02:12:06Z
9,00:39:55,2025-03-07T02:11:39Z,00:05:32,Don't Forget to Fuckin' Chill v2.0,Xikwri Neyrra,Psy-Trance,Deck A,5d,2025-03-07T02:17:11Z
10,00:44:46,2025-03-07T02:16:30Z,00:07:10,Acoustic Crumpet,Smilk,Trance (Main Floor),Deck B,3m,2025-03-07T02:23:40Z
11,00:50:03,2025-03-07T02:21:47Z,00:05:34,Twee,Kaufmann (DE),Techno (Peak Time / Driving),Deck A,2m,2025-03-07T02:27:21Z
13,00:56:15,2025-03-07T02:27:59Z,00:03:17,Mycelium,Luis M,Techno (Peak Time / Driving),Deck B,12m,2025-03-07T02:31:16Z
14,00:58:59,2025-03-07T02:30:43Z,00:04:24,Yeahlike,Smilk,Techno (Peak Time / Driving),Deck A,9m,2025-03-07T02:35:07Z
15,01:02:33,2025-03-07T02:34:17Z,00:09:39,Flowers Are Speakers,Smilk,Psy-Trance,Deck B,8m,2025-03-07T02:43:56Z
16,01:11:38,2025-03-07T02:43:22Z,00:04:56,Valhalla,EEEMUS,Melodic House & Techno,Deck A,7m,2025-03-07T02:48:18Z
17,01:15:23,2025-03-07T02:47:07Z,00:06:37,Bloody Mary,Double Cheese,Techno (Peak Time / Driving),Deck B,7m,2025-03-07T02:53:44Z
18,01:21:06,2025-03-07T02:52:50Z,00:05:33,Human Takeover,Luis M,Melodic House & Techno,Deck A,7m,2025-03-07T02:58:23Z
19,01:25:30,2025-03-07T02:57:14Z,00:05:11,Voices In My Head,Thomas Labermair,Techno (Peak Time / Driving),Deck B,6m,2025-03-07T03:02:25Z
20,01:30:51,2025-03-07T03:02:35Z,00:03:52,Shifting Reality,AIO,Techno (Peak Time / Driving),Deck A,5m,2025-03-07T03:06:27Z
21,01:34:29,2025-03-07T03:06:13Z,00:05:02,Return to Oz,Monolink,Melodic House & Techno,Deck B,12m,2025-03-07T03:11:15Z
22,01:39:00,2025-03-07T03:10:44Z,00:04:22,Sinner,Monolink,Melodic House & Techno,Deck A,2m,2025-03-07T03:15:06Z
23,01:43:05,2025-03-07T03:14:49Z,00:05:11,Swallow,Monolink,Melodic House & Techno,Deck B,4m,2025-03-07T03:20:00Z
24,01:46:04,2025-03-07T03:17:48Z,00:05:47,Under Dark,Monolink,Melodic House & Techno,Deck A,2m,2025-03-07T03:23:35Z
25,01:51:51,2025-03-07T03:23:35Z,00:00:00,Lie,Santiago Garcia,Melodic House & Techno,Deck B,2m,2025-03-07T03:23:35Z
26,01:55:34,2025-03-07T03:27:18Z,00:00:00,FEARLESS,"twocolors, TC/TC",Melodic House & Techno,Deck A,3m,2025-03-07T03:27:18Z
